CODCOLIGADA;CODIGO;DESCRICAO;NOME;NUMPONTOS;CBO;RECCREATEDBY;CARGO;INATIVA;ATIVTRANSP;RECCREATEDON;FAIXASALARIAL;RECMODIFIEDBY;DATAULTIMAREVISAO;NUMREVISAO;CBO2002;RECMODIFIEDON;CODPERFILCAND;OBJETIVO;EXIBEORGANOGRAMA;CODFUNCAOCHEFIA;JORNADAREF;CODTIPOFUNCAO;SIGLA;CODCLASSFUNCAO;ESOCIALFUNCAOCONF;ID;LIMITEFUNC;VERBAQUADROVAGAS;PERCQUADROVAGAS;DESCRICAOPPP;CODTABELA;SIMILARIDADEINTEGRACAOGUPY;BENEFPONTOS
1;00001;Definir e coordenar estratégias globais para  a empresa definindo metas e controlando sua execução visando ampliar os horizontes de atuação e mantendo o padrão de atualização tecnológica da empresa frente ao mercado;Diretor;;08320;;04;0;0;;H;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;;;;;;;1;0;0;0;Definir e coordenar estratégias globais para  a empresa definindo metas e controlando sua execução visando ampliar os horizontes de atuação e mantendo o padrão de atualização tecnológica da empresa frente ao mercado;000;;
1;00002;Definir e coordenar estratégias globais para  a empresa referentes a toda a organização, controlando a execução das tarefas repassadas para sua equipe.O mesmos deverá repassar posição do acompanhamento estatístico da organização contantemente a Diretoria.;Superintendente;;08320;;04;0;0;;G;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00001;;;;;;2;0;0;0;Definir e coordenar estratégias globais para  a empresa referentes a toda a organização, controlando a execução das tarefas repassadas para sua equipe.O mesmos deverá repassar posição do acompanhamento estatístico da organização contantemente a Diretoria.;000;;
1;00003;"Definir e coordenar estratégias globais para  a empresa referentes a toda a organização os sistemas financeiros e controlando sua execução com relação ao gerenciamento de sua equipe da área financeira e de controladoria.
Definir e coordenar estratégias globais para  a empresa referentes a toda a parte administrativa como compra de equipamentos, controle da recepção, distribuição de versões para clientes dentre outros, controlando sua execução com relação ao gerenciamento de sua equipe da área administrativa e de recursos humanos.
Responsável pelo projeto de certificação da empresa.";Gerente Administrativo e Financeiro;;08320;;02;0;0;;F;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00002;;;;;;3;0;0;0;"Definir e coordenar estratégias globais para  a empresa referentes a toda a organização os sistemas financeiros e controlando sua execução com relação ao gerenciamento de sua equipe da área financeira e de controladoria.
Definir e coordenar estratégias globais para  a empresa referentes a toda a parte administrativa como compra de equipamentos, controle da recepção, distribuição de versões para clientes dentre outros, controlando sua execução com relação ao gerenciamento de sua equipe da área administrativa e de recursos humanos.
Responsável pelo projeto de certificação da empresa.";000;;
1;00004;Auxiliar o diretor presidente na elaboração das metas globais e montar juntamente com o  departamento de marketing estratégias para que as metas sejam atingidas. Controlar as vendas junto com os coordenadores técnicos.;Gerente Comercial;;08320;;02;0;0;;F;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00002;;;;;;4;0;0;0;Auxiliar o diretor presidente na elaboração das metas globais e montar juntamente com o  departamento de marketing estratégias para que as metas sejam atingidas. Controlar as vendas junto com os coordenadores técnicos.;000;;
1;00005;Coordenar e controlar os vendedores criando metas e estratégias para incremento das vendas objetivando maximizar o resultado líquido da operação;Gerente Técnico;;08320;;02;0;0;;F;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00002;;;;;;5;0;0;0;Coordenar e controlar os vendedores criando metas e estratégias para incremento das vendas objetivando maximizar o resultado líquido da operação;000;;
1;00006;Auxiliar o Gerente Administrativo nas atividades que lhe são atribuídas.;Auxiliar Administrativo;;08320;;01;0;0;;A;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00003;;;;;;6;0;0;0;Auxiliar o Gerente Administrativo nas atividades que lhe são atribuídas.;002;;
1;00007;Coordenar e orientar junto sua equipe, todo processo de departamento pessoal como : admissões, demissões, férias, processos judiciais trabalhistas.;Auxiliar de Pessoal;;08320;;01;0;0;;B;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00003;;;;;;7;0;0;0;Coordenar e orientar junto sua equipe, todo processo de departamento pessoal como : admissões, demissões, férias, processos judiciais trabalhistas.;002;;
1;00008;Auxiliar o Gerente da Contabilidade / Financeiro nas atividades que lhe são atribuídas .;Auxiliar Contábil Financeiro;;08320;;01;0;0;;A;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00003;;;;;;8;0;0;0;Auxiliar o Gerente da Contabilidade / Financeiro nas atividades que lhe são atribuídas .;002;;
1;00009;"Analisar e escrever os aplicativos vendidos pela empresa, utilizando a linguagem base, respeitando regras, bibliotecas, e servidores utilizados.
Auxiliar o Suporte Técnico II quanto a utilização do produto. Definir prioridades de implementações e correções de problemas detectados pelo suporte e/ou clientes, repeitando prazos pradrão de liberação de versões. Também age no auxilío aos vendedores dando informações específicas a respeito do produto.";Analista de Sistemas;;08320;;06;0;0;;E;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00005;;;;;;9;0;0;0;"Analisar e escrever os aplicativos vendidos pela empresa, utilizando a linguagem base, respeitando regras, bibliotecas, e servidores utilizados.
Auxiliar o Suporte Técnico II quanto a utilização do produto. Definir prioridades de implementações e correções de problemas detectados pelo suporte e/ou clientes, repeitando prazos pradrão de liberação de versões. Também age no auxilío aos vendedores dando informações específicas a respeito do produto.";004;;
1;00010;Auxiliar os clientes no pós-venda e durante a utilização do produto da empresa. Também age no auxilío aos vendedores dando informações específicas a respeito do produto;Suporte Técnico II;;08320;;06;0;0;;B;mestre;15/07/2002;0;2124-05;16/04/2025;;;T;00005;;;;;;10;0;0;0;Auxiliar os clientes no pós-venda e durante a utilização do produto da empresa. Também age no auxilío aos vendedores dando informações específicas a respeito do produto;004;;
